Folsom Temperature Profiles (2001-2021) - All Sites,,,
JDAY,Depth,Temp,Seg
923.51,38.16,10.22,63
923.51,39.72,10.22,63
923.51,41.15,9.94,63
923.51,42.7,9.78,63
923.51,43.53,9.72,63
935.5,0.18,26.17,63
935.5,1.55,26.17,63
935.5,3.08,26.11,63
935.5,4.57,26.06,63
935.5,6.16,26.06,63
935.5,7.68,26.06,63
935.5,9.14,25,63
935.5,10.67,23.33,63
935.5,12.41,21.39,63
935.5,13.69,20.33,63
935.5,15.27,19.67,63
935.5,16.82,18.44,63
935.5,18.35,17,63
935.5,19.93,15.33,63
935.5,21.46,14.5,63
935.51,22.89,13.39,63
935.51,24.41,13.33,63
935.51,25.97,12.78,63
935.51,27.4,12.61,63
935.51,29.02,12.28,63
935.51,30.6,11.72,63
935.51,32.06,11.67,63
935.51,33.53,11.5,63
935.51,35.08,11.11,63
935.51,36.61,11,63
935.51,38.01,10.89,63
935.51,39.81,10.5,63
935.51,41.18,10.33,63
951.5,0.15,25.11,63
951.5,1.58,24.83,63
951.5,3.08,24.44,63
951.5,4.63,24.17,63
951.5,6.13,23.83,63
951.5,7.62,23.67,63
951.5,9.14,23.56,63
951.5,10.67,23.39,63
951.5,12.25,22.11,63
951.5,13.75,21.22,63
951.5,15.24,20.5,63
951.5,16.89,19.83,63
951.5,18.32,18.94,63
951.5,19.87,17.06,63
951.5,21.34,16.06,63
951.51,22.89,15.06,63
951.51,24.41,14.28,63
951.51,25.97,13.67,63
951.51,27.52,13.11,63
951.51,28.99,12.67,63
951.51,30.48,12.33,63
951.51,32,12,63
951.51,33.71,11.56,63
951.51,35.14,11.28,63
951.51,36.55,11,63
951.51,38.1,10.78,63
951.51,39.41,10.61,63
963.5,0.09,25.44,63
963.5,1.46,25.44,63
963.5,3.08,25.39,63
963.5,4.57,25.33,63
963.5,6.13,25.33,63
963.5,9.11,25.06,63
963.5,10.7,24,63
963.5,12.19,22.56,63
963.5,13.75,21.78,63
963.5,15.21,21.22,63
963.5,16.73,20.11,63
963.5,18.38,19.06,63
963.5,19.87,18.28,63
963.5,21.43,17.22,63
963.51,22.92,16.17,63
963.51,24.51,14.89,63
963.51,26,13.94,63
963.51,27.43,13.11,63
963.51,29.02,12.56,63
963.51,30.48,12.11,63
963.51,32.06,11.94,63
963.51,33.53,11.44,63
963.51,35.11,11.11,63
963.51,36.61,10.61,63
963.51,38.13,10.44,63
963.51,38.62,10.44,63
977.5,0.06,25.61,63
977.5,1.52,25.33,63
977.5,3.05,25.06,63
977.5,4.57,24.44,63
977.5,6.13,23.94,63
977.5,7.71,23.83,63
977.5,9.14,23.61,63
977.5,10.67,23.5,63
977.5,12.19,22.5,63
977.5,13.78,22.28,63
977.5,15.27,21.44,63
977.5,16.79,20.5,63
977.5,18.32,20.39,63
977.5,19.84,20.17,63
977.5,21.37,19.78,63
977.51,22.83,18.56,63
977.51,24.41,17.78,63
977.51,25.91,17.5,63
977.51,27.49,15.67,63
977.51,28.96,14.89,63
977.51,30.51,13.89,63
977.51,31.97,13.11,63
977.51,33.56,12.5,63
977.51,35.11,11.94,63
977.51,36.61,11.72,63
977.51,38.01,11.33,63
993.5,0.03,22.94,63
993.5,1.52,22.56,63
993.5,3.02,22.44,63
993.5,4.54,22.33,63
993.5,6.1,22.17,63
993.5,7.62,22.11,63
993.5,9.17,21.89,63
993.5,10.7,21.56,63
993.5,12.19,20.94,63
