JDAY,Fl Wt Ave Temp,,Flow Weighted Average - Water Temperature below Folsom Reservoir (JDAY1 = 1/1/2000)
1470,9.37,,
1471,9.30,,
1472,9.24,,
1473,9.23,,
1474,9.17,,
1475,9.10,,
1476,9.00,,
1477,9.00,,
1478,8.79,,
1479,8.85,,
1480,8.84,,
1481,8.69,,
1482,8.71,,
1483,8.77,,
1484,8.74,,
1485,8.73,,
1486,8.57,,
1487,8.57,,
1488,8.38,,
1489,8.67,,
1490,8.60,,
1491,8.52,,
1492,8.66,,
1493,8.53,,
1494,8.31,,
1495,8.40,,
1496,8.71,,
1497,8.67,,
1498,8.50,,
1499,8.58,,
1500,8.59,,
1501,8.64,,
1502,8.48,,
1503,8.52,,
1504,8.63,,
1505,8.48,,
1506,8.53,,
1507,8.52,,
1508,8.31,,
1509,8.47,,
1510,8.69,,
1511,8.74,,
1512,8.37,,
1513,8.42,,
1514,8.50,,
1515,8.48,,
1516,8.43,,
1517,8.72,,
1518,9.04,,
1519,9.11,,
1521,8.94,,
1522,8.79,,
1523,9.07,,
1524,9.19,,
1525,9.04,,
1526,9.17,,
1527,9.36,,
1528,9.54,,
1529,9.62,,
1530,9.92,,
1531,10.25,,
1532,10.01,,
1533,10.11,,
1534,10.12,,
1535,10.39,,
1536,10.62,,
1537,10.64,,
1538,10.62,,
1539,10.72,,
1540,10.57,,
1541,10.75,,
1542,10.61,,
1543,10.35,,
1544,10.42,,
1545,10.64,,
1546,10.29,,
1547,10.61,,
1548,10.94,,
1549,10.87,,
1550,11.08,,
1551,10.64,,
1552,10.91,,
1553,11.53,,
1554,11.28,,
1555,11.08,,
1556,10.96,,
1557,11.10,,
1558,11.70,,
1559,11.70,,
1560,11.63,,
1561,11.88,,
1562,12.19,,
1563,12.12,,
1564,11.92,,
1565,11.65,,
1566,12.05,,
1567,12.00,,
1568,12.30,,
1569,12.32,,
1570,12.27,,
1571,12.18,,
1572,12.20,,
1573,12.32,,
1574,12.87,,
1575,13.05,,
1576,13.42,,
1577,13.54,,
1578,13.73,,
1579,13.64,,
1580,14.02,,
1581,13.94,,
1582,13.97,,
1583,14.11,,
1584,14.30,,
1585,14.45,,
1586,13.93,,
1587,14.03,,
1588,14.06,,
1589,14.43,,
1590,14.55,,
1591,14.54,,
1592,14.56,,
1593,14.81,,
1594,14.81,,
1595,14.76,,
1596,14.77,,
1597,14.81,,
1598,14.90,,
1599,14.09,,
1600,15.15,,
1601,14.99,,
1602,14.70,,
1603,14.92,,
1604,14.62,,
1605,15.29,,
1606,15.28,,
1607,15.26,,
1608,15.34,,
1609,15.40,,
1610,15.15,,
1611,15.84,,
1612,16.08,,
1613,16.05,,
1614,16.17,,
1615,16.24,,
1616,15.28,,
1617,16.38,,
1618,16.45,,
1619,16.66,,
1620,16.27,,
1621,16.54,,
1622,15.29,,
1623,15.59,,
1624,15.85,,
1625,16.12,,
1626,16.36,,
1627,15.88,,
1628,16.30,,
1629,16.20,,
1630,16.58,,
1631,16.10,,
1632,16.96,,
1633,17.04,,
1634,16.26,,
1635,13.71,,
1636,13.75,,
1637,13.84,,
1638,13.89,,
1639,14.06,,
1640,14.21,,
1641,14.45,,
1642,14.60,,
1643,14.69,,
1644,14.94,,
1645,15.20,,
1646,15.37,,
1647,15.50,,
1648,15.71,,
1649,15.89,,
1650,16.03,,
1651,16.21,,
