$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35,
  0.3048,     0.000,    22.210,    17.930,    21.797,    22.179,    17.952,    36.300,    49.960,    55.947,    60.617,    50.663,    77.830,   124.708,   159.652,   165.502,   194.746,   180.623,   161.788,   128.794,   190.459,   205.291,   242.502,   217.780,   225.076,   198.996,   441.693,   244.349,   233.568,   285.889,   364.219,   292.653,   485.577,   278.562,   297.021,     0.000, 44
  0.3048,     0.000,    21.972,    17.738,    21.563,    21.942,    17.759,    35.911,    42.730,    55.348,    52.609,    50.120,    76.997,   120.282,   149.665,   158.189,   189.880,   161.491,   144.704,   127.415,   181.522,   203.093,   228.293,   200.298,   222.666,   195.468,   412.680,   240.746,   231.067,   282.828,   359.536,   282.788,   448.869,   275.579,   293.841,     0.000, 45
  0.3048,     0.000,    21.562,    16.237,    21.161,    21.532,    17.428,    29.565,    36.609,    54.315,    51.626,    46.732,    70.092,   116.134,   144.139,   153.306,   179.849,   157.193,   128.722,   123.276,   177.757,   199.301,   222.753,   183.023,   218.509,   191.818,   395.973,   233.405,   222.660,   270.157,   344.672,   274.465,   422.779,   270.434,   283.737,     0.000, 46
  0.3048,     0.000,    21.222,    15.133,    20.827,    21.193,    17.153,    29.100,    34.705,    49.891,    45.636,    45.996,    65.990,   111.644,   140.571,   150.066,   170.129,   152.110,   120.871,   118.498,   171.575,   196.164,   210.868,   168.153,   215.070,   188.799,   385.930,   220.952,   215.186,   263.548,   328.618,   263.578,   383.475,   262.257,   278.149,     0.000, 47
  0.3048,     0.000,    21.222,    15.133,    20.827,    21.193,    17.153,    25.972,    34.705,    49.891,    39.843,    45.996,    65.990,   110.530,   130.031,   146.472,   159.845,   149.833,   119.201,   118.213,   171.124,   196.164,   208.723,   158.500,   201.599,   188.296,   357.395,   208.822,   193.795,   254.995,   318.574,   249.524,   334.963,   262.257,   277.741,     0.000, 48
  0.3048,     0.000,    20.097,    13.863,    20.827,    20.149,    17.153,    21.224,    33.319,    49.891,    36.171,    45.995,    64.178,   108.047,   119.364,   136.839,   155.914,   138.826,   112.151,   117.688,   170.398,   181.801,   204.270,   145.848,   200.965,   184.841,   339.140,   203.274,   174.884,   224.361,   311.031,   246.450,   319.351,   262.257,   272.966,     0.000, 49
  0.3048,     0.000,    17.438,    12.382,    19.408,    19.940,    17.056,    19.109,    31.692,    49.607,    28.301,    41.226,    63.513,   105.599,    98.863,   124.877,   112.278,   128.108,   109.665,   116.468,   165.460,   171.461,   202.153,   133.271,   198.882,   181.922,   320.976,   195.307,   162.319,   210.930,   301.332,   243.896,   312.071,   260.765,   270.137,     0.000, 50
  0.3048,     0.000,    14.697,     9.603,    19.327,    19.857,    16.985,    19.030,    30.251,    49.401,    27.009,    41.056,    62.002,   102.440,    80.008,   102.682,    85.016,   122.267,   105.396,   112.542,   163.532,   169.409,   188.336,   121.243,   198.058,   177.084,   277.819,   190.710,   158.637,   205.623,   296.272,   242.885,   298.175,   254.181,   267.714,     0.000, 51
  0.3048,     0.000,    12.218,     4.317,    18.027,    19.103,    16.985,    19.030,    30.251,    48.725,    26.179,    41.056,    62.002,    99.764,    64.893,    38.863,    40.989,   106.170,   102.967,   104.891,   163.532,   169.409,   181.249,   115.360,   190.350,   155.607,   235.296,   189.642,   154.445,   205.623,   296.272,   242.885,   290.456,   254.181,   267.714,     0.000, 52
  0.3048,     0.000,     4.358,     4.317,    14.950,    19.103,    16.985,    19.030,    29.627,    48.725,    23.786,    41.056,    60.860,    95.235,    46.374,    34.870,    33.972,    78.506,    98.511,   100.537,   163.532,   169.409,   178.365,   115.307,   190.350,   133.331,   195.891,   165.834,   151.132,   205.623,   295.109,   240.718,   285.103,   254.181,   267.714,     0.000, 53
  0.3048,     0.000,     0.000,     0.000,    14.775,    19.057,    15.862,    19.030,    25.395,    47.658,    22.186,    41.056,    60.147,    88.796,    40.546,    30.154,    26.257,    58.515,    93.285,    91.375,   162.722,   167.290,   176.276,   111.104,   186.091,   119.671,   178.918,   154.928,   142.790,   205.623,   286.289,   236.012,   276.417,   254.181,   267.714,     0.000, 54
  0.3048,     0.000,     0.000,     0.000,    12.147,    16.907,    14.640,    19.030,    21.555,    47.658,    22.186,    41.056,    57.943,    87.962,    34.296,    25.927,    19.000,    38.478,    86.773,    88.879,   142.510,   165.077,   175.451,   111.104,   171.039,   103.858,   168.962,   151.670,   134.515,   200.453,   281.584,   234.125,   257.097,   254.181,   264.988,     0.000, 55
  0.3048,     0.000,     0.000,     0.000,     8.244,    13.236,    13.527,    15.568,    21.555,    43.377,    22.186,    40.035,    57.943,    84.078,    31.045,    21.957,    11.850,    30.425,    81.322,    82.614,   111.011,   165.077,   175.451,   110.648,   166.100,    97.842,   150.410,   141.046,   116.399,   198.425,   276.275,   234.125,   245.020,   254.181,   264.988,     0.000, 56
  0.3048,     0.000,     0.000,     0.000,     4.540,     4.540,     9.878,    12.160,    21.555,    43.377,    21.977,    40.035,    57.943,    84.078,    28.161,    18.161,     9.079,    22.484,    77.189,    77.648,    96.504,   165.077,   175.451,   110.648,   131.745,    92.863,   142.867,   129.990,   107.931,   198.229,   244.742,   234.125,   240.724,   254.181,   264.988,     0.000, 57
